Weight,Procedure_Nested,TrialNumber,WarningType,TargetType,FlankingType,TargetDirection,TargetFilePath,TargetImage,CorrectAnswer,IntervalBetweenCueAndTarget,DurationOfTarget,DurationOfFixation,DurationOfFixationEnd,CuePositionY,CuePositionY2,TargetPosition,ConditionNumber
1,EventProc,6,cue,down,congruent,left,experiment_design/stimuli,lllll,7,750,2000,0,500,270,-100,270,3
1,EventProc,7,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,3000,2000,0,2000,-100,-100,270,5
1,EventProc,8,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,6250,2000,0,750,-100,-100,270,6
1,EventProc,9,no,up,incongruent,right,experiment_design/stimuli,llrll,2,4500,2000,0,3500,-100,-100,210,6
1,EventProc,10,center,down,congruent,left,experiment_design/stimuli,lllll,7,2000,2000,0,0,240,-100,270,1
1,EventProc,11,no,up,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,250,-100,-100,210,6
1,EventProc,12,center,up,incongruent,right,experiment_design/stimuli,llrll,2,1250,2000,0,3500,240,-100,210,2
1,EventProc,13,cue,down,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,2500,270,-100,270,3
1,EventProc,14,center,up,congruent,left,experiment_design/stimuli,lllll,7,11500,2000,0,12000,240,-100,210,1
1,EventProc,15,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,2000,2000,0,500,210,-100,210,4
1,EventProc,16,cue,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,5000,210,-100,210,3
1,EventProc,17,cue,down,incongruent,left,experiment_design/stimuli,rrlrr,7,1250,2000,0,7000,270,-100,270,4
1,EventProc,18,no,up,congruent,left,experiment_design/stimuli,lllll,7,4500,2000,0,250,-100,-100,210,5
1,EventProc,19,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,11500,2000,0,1000,240,-100,270,2
1,EventProc,20,no,up,incongruent,right,experiment_design/stimuli,llrll,2,750,2000,0,500,-100,-100,210,6
1,EventProc,21,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,1250,2000,0,750,210,-100,210,3
1,EventProc,22,cue,down,congruent,right,experiment_design/stimuli,rrrrr,2,500,2000,0,1000,270,-100,270,3
1,EventProc,23,center,down,incongruent,right,experiment_design/stimuli,llrll,2,6250,2000,0,12000,240,-100,270,2
1,EventProc,24,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,500,2000,0,5000,210,-100,210,4
1,EventProc,25,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,2500,-100,-100,270,6
1,EventProc,26,cue,up,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,250,210,-100,210,4
1,EventProc,27,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,11500,2000,0,0,270,-100,270,4
1,EventProc,28,center,up,congruent,left,experiment_design/stimuli,lllll,7,3000,2000,0,1000,240,-100,210,1
1,EventProc,29,no,up,congruent,left,experiment_design/stimuli,lllll,7,2000,2000,0,7000,-100,-100,210,5
1,EventProc,30,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,3000,2000,0,2500,270,-100,270,4
1,EventProc,31,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,750,2000,0,2000,240,-100,270,2
1,EventProc,32,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,6250,2000,0,2000,240,-100,270,1
1,EventProc,33,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,0,2000,0,1500,240,-100,270,1
1,EventProc,34,center,up,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,1500,240,-100,210,2
1,EventProc,35,center,up,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,750,240,-100,210,2
1,EventProc,36,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,250,2000,0,3500,-100,-100,270,5
1,EventProc,1,no,down,incongruent,right,experiment_design/stimuli,llrll,2,500,2000,0,1500,-100,-100,270,6
1,EventProc,2,center,up,incongruent,right,experiment_design/stimuli,llrll,2,250,2000,0,7000,240,-100,210,2
1,EventProc,3,center,up,congruent,right,experiment_design/stimuli,rrrrr,2,4500,2000,0,0,240,-100,210,1
1,EventProc,4,no,down,congruent,left,experiment_design/stimuli,lllll,7,250,2000,0,5000,-100,-100,270,5
1,EventProc,5,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,12000,-100,-100,270,6
1,EventProc,6,center,down,congruent,left,experiment_design/stimuli,lllll,7,750,2000,0,500,240,-100,270,1
1,EventProc,7,no,up,incongruent,right,experiment_design/stimuli,llrll,2,3000,2000,0,2000,-100,-100,210,6
1,EventProc,8,no,up,congruent,right,experiment_design/stimuli,rrrrr,2,6250,2000,0,750,-100,-100,210,5
1,EventProc,9,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,4500,2000,0,3500,-100,-100,270,5
1,EventProc,10,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,2000,2000,0,0,240,-100,270,2
1,EventProc,11,no,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,250,-100,-100,210,5
1,EventProc,12,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,1250,2000,0,3500,210,-100,210,4
1,EventProc,13,center,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,2500,240,-100,210,1
1,EventProc,14,center,down,incongruent,right,experiment_design/stimuli,llrll,2,11500,2000,0,12000,240,-100,270,2
1,EventProc,15,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,2000,2000,0,500,210,-100,210,3
1,EventProc,16,center,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,5000,240,-100,210,1
1,EventProc,17,cue,down,congruent,left,experiment_design/stimuli,lllll,7,1250,2000,0,7000,270,-100,270,3
1,EventProc,18,no,up,incongruent,left,experiment_design/stimuli,rrlrr,7,4500,2000,0,250,-100,-100,210,6
1,EventProc,19,cue,down,incongruent,left,experiment_design/stimuli,rrlrr,7,11500,2000,0,1000,270,-100,270,4
1,EventProc,20,no,up,congruent,left,experiment_design/stimuli,lllll,7,750,2000,0,500,-100,-100,210,5
1,EventProc,21,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,1250,2000,0,750,240,-100,270,1
1,EventProc,22,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,500,2000,0,1000,240,-100,270,1
1,EventProc,23,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,6250,2000,0,12000,210,-100,210,4
1,EventProc,24,cue,down,congruent,left,experiment_design/stimuli,lllll,7,500,2000,0,5000,270,-100,270,3
1,EventProc,25,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,0,2000,0,2500,-100,-100,270,5
1,EventProc,26,cue,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,250,210,-100,210,3
1,EventProc,27,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,11500,2000,0,0,210,-100,210,3
1,EventProc,28,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,3000,2000,0,1000,240,-100,270,2
1,EventProc,29,no,up,incongruent,right,experiment_design/stimuli,llrll,2,2000,2000,0,7000,-100,-100,210,6
1,EventProc,30,cue,down,congruent,right,experiment_design/stimuli,rrrrr,2,3000,2000,0,2500,270,-100,270,3
1,EventProc,31,cue,up,incongruent,right,experiment_design/stimuli,llrll,2,750,2000,0,2000,210,-100,210,4
1,EventProc,32,center,up,incongruent,right,experiment_design/stimuli,llrll,2,6250,2000,0,2000,240,-100,210,2
1,EventProc,33,center,up,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,1500,240,-100,210,2
1,EventProc,34,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,1500,270,-100,270,4
1,EventProc,35,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,750,270,-100,270,4
1,EventProc,36,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,250,2000,0,3500,-100,-100,270,6
1,EventProc,1,center,up,congruent,right,experiment_design/stimuli,rrrrr,2,500,2000,0,1500,240,-100,210,1
1,EventProc,2,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,250,2000,0,7000,210,-100,210,4
1,EventProc,3,center,up,incongruent,right,experiment_design/stimuli,llrll,2,4500,2000,0,0,240,-100,210,2
1,EventProc,4,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,250,2000,0,5000,210,-100,210,3
1,EventProc,5,center,down,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,12000,240,-100,270,1
1,EventProc,6,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,750,2000,0,500,240,-100,270,2
1,EventProc,7,center,up,congruent,left,experiment_design/stimuli,lllll,7,3000,2000,0,2000,240,-100,210,1
1,EventProc,8,cue,down,congruent,left,experiment_design/stimuli,lllll,7,6250,2000,0,750,270,-100,270,3
1,EventProc,9,cue,down,congruent,left,experiment_design/stimuli,lllll,7,4500,2000,0,3500,270,-100,270,3
1,EventProc,10,cue,down,incongruent,left,experiment_design/stimuli,rrlrr,7,2000,2000,0,0,270,-100,270,4
1,EventProc,11,cue,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,250,210,-100,210,3
1,EventProc,12,no,down,incongruent,right,experiment_design/stimuli,llrll,2,1250,2000,0,3500,-100,-100,270,6
1,EventProc,13,center,down,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,2500,240,-100,270,2
1,EventProc,14,cue,up,incongruent,left,experiment_design/stimuli,rrlrr,7,11500,2000,0,12000,210,-100,210,4
1,EventProc,15,no,down,congruent,left,experiment_design/stimuli,lllll,7,2000,2000,0,500,-100,-100,270,5
1,EventProc,16,center,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,5000,240,-100,270,2
1,EventProc,17,no,up,congruent,right,experiment_design/stimuli,rrrrr,2,1250,2000,0,7000,-100,-100,210,5
1,EventProc,18,center,up,congruent,left,experiment_design/stimuli,lllll,7,4500,2000,0,250,240,-100,210,1
1,EventProc,19,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,11500,2000,0,1000,-100,-100,270,6
1,EventProc,20,cue,up,congruent,right,experiment_design/stimuli,rrrrr,2,750,2000,0,500,210,-100,210,3
1,EventProc,21,center,up,incongruent,right,experiment_design/stimuli,llrll,2,1250,2000,0,750,240,-100,210,2
1,EventProc,22,center,up,incongruent,left,experiment_design/stimuli,rrlrr,7,500,2000,0,1000,240,-100,210,2
1,EventProc,23,no,up,incongruent,right,experiment_design/stimuli,llrll,2,6250,2000,0,12000,-100,-100,210,6
1,EventProc,24,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,500,2000,0,5000,-100,-100,270,5
1,EventProc,25,cue,down,congruent,right,experiment_design/stimuli,rrrrr,2,0,2000,0,2500,270,-100,270,3
1,EventProc,26,no,up,congruent,left,experiment_design/stimuli,lllll,7,0,2000,0,250,-100,-100,210,5
1,EventProc,27,no,up,congruent,left,experiment_design/stimuli,lllll,7,11500,2000,0,0,-100,-100,210,5
1,EventProc,28,cue,up,incongruent,right,experiment_design/stimuli,llrll,2,3000,2000,0,1000,210,-100,210,4
1,EventProc,29,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,2000,2000,0,7000,240,-100,270,1
1,EventProc,30,no,down,congruent,right,experiment_design/stimuli,rrrrr,2,3000,2000,0,2500,-100,-100,270,5
1,EventProc,31,no,up,incongruent,left,experiment_design/stimuli,rrlrr,7,750,2000,0,2000,-100,-100,210,6
1,EventProc,32,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,6250,2000,0,2000,270,-100,270,4
1,EventProc,33,cue,down,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,1500,270,-100,270,4
1,EventProc,34,no,up,incongruent,right,experiment_design/stimuli,llrll,2,0,2000,0,1500,-100,-100,210,6
1,EventProc,35,no,down,incongruent,left,experiment_design/stimuli,rrlrr,7,0,2000,0,750,-100,-100,270,6
1,EventProc,36,center,down,congruent,right,experiment_design/stimuli,rrrrr,2,250,2000,0,3500,240,-100,270,1
